name,position,height/m,nationality,injury_history,apparence
Denis Vavro,Centre-Back,1.89,Slovakia,"[-1, 11, 850, 32, 239, 31, 12, 5, 236, 14, 984, 22, 355, 8, 2, 12]","(376, 30174)"
David Odogu,Centre-Back,1.91,Germany,"[-1, 10]","(65, 5570)"
Mathys Angély,Centre-Back,1.9,France,"[-1, 10, 137, 43]","(27, 2015)"
Joakim Maehle,Left-Back,1.85,Denmark,"[-1, 12, 805, 9, 252, 5, 54, 15, 13, 7, 80, 20, 570, 21, 241, 29, 65, 10]","(317, 24076)"
Rogério,Left-Back,1.78,Brazil,"[-1, 8, 158, 99, 28, 8, 190, 4, 65, 33, 59, 9, 424, 21, 560, 33, 36, 14, 56, 22, 21, 37, 15, 303, 0, 78]","(206, 15575)"
Mads Roerslev,Right-Back,1.84,Denmark,"[-1, 92, 1569, 14, 16, 6]","(230, 14905)"
Kilian Fischer,Right-Back,1.82,Germany,"[-1, 74, 174, 19, 216, 250, 81, 33, 812, 8, 2, 56, 739, 31, 122, 75, 552, 19]","(145, 10093)"
Mattias Svanberg,Central Midfield,1.85,Sweden,"[-1, 29, 420, 12, 14, 15, 448, 4, 21, 8, 572, 55, 93, 42, 133, 22, 6, 40]","(315, 19966)"
Aster Vranckx,Central Midfield,1.83,Belgium,"[-1, 28, 90, 15, 49, 8, 492, 7, 338, 41, 70, 22, 41, 80]","(127, 6500)"
Maximilian Arnold,Central Midfield,1.84,Germany,"[-1, 4, 196, 12, 157, 8, 301, 33, 147, 53, 133, 15, 252, 5, 74, 4, 1097, 11, 576, 6, 378, 10, 98, 4, 54, 4, 377, 10, 0, 17]","(553, 44416)"
Yannick Gerhardt,Central Midfield,1.84,Germany,"[-1, 8, 542, 40, 766, 68, 196, 22, 815, 75, 0, 11, 336, 22, 378, 19, 773, 64, 612, 29, 277, 6]","(430, 29577)"
Kevin Paredes,Left Midfield,1.75,United States,"[-1, 43, 95, 8, 427, 69, 48, 7, 53, 17, 77, 33, 228, 8, 129, 209, 0, 14, 30, 20]","(102, 4842)"
Lovro Majer,Attacking Midfield,1.78,Croatia,"[-1, 27, 148, 8, 164, 11, 121, 3, 32, 11, 569, 54, 9, 164]","(287, 18625)"
Bence Dárdai,Attacking Midfield,1.89,Hungary,"[-1, 114]","(87, 5902)"
Bennit Bröger,Attacking Midfield,1.81,Germany,"[-1, 38]","(73, 5839)"
Jakub Kaminski,Left Winger,1.79,Poland,"[-1, 7, 634, 8, 51, 17]","(215, 13791)"
Andreas Skov Olsen,Right Winger,1.87,Denmark,"[-1, 22, 97, 82, 100, 8, 216, 8, 260, 6, 42, 7, 21, 5, 74, 9, 12, 20, 1, 42, 31, 26, 78, 3, 44, 6, 160, 14, 8, 23, 12, 4, 159, 5, 83, 3, 95, 3]","(291, 18116)"
Patrick Wimmer,Right Winger,1.82,Austria,"[-1, 26, 56, 15, 17, 12, -11, 12, 168, 8, 98, 32, 35, 8, 14, 21, 271, 7, 56, 110, 225, 5, 157, 4]","(197, 11524)"
Mohamed Amoura,Centre-Forward,1.7,Algeria,"[-1, 37, 132, 9, 7, 6, 9, 15, 440, 6, 262, 39]","(190, 10739)"
Jonas Wind,Centre-Forward,1.9,Denmark,"[-1, 92, 322, 225, 52, 29, 161, 12, 612, 54, 39, 6, 911, 5]","(272, 19419)"
Tiago Tomás,Centre-Forward,1.8,Portugal,"[-1, 15, 108, 15, 39, 11, 42, 12, 234, 12, 149, 19, 1, 11, 288, 3, 50, 32]","(184, 9182)"
Lukas Nmecha,Centre-Forward,1.85,Germany,"[-1, 8, 669, 8, 122, 75, 208, 13, 34, 85, 43, 78, 74, 140, 1, 45, 41, 213, 0, 7, 100, 15, 3, 23]","(251, 14943)"
Kevin Behrens,Centre-Forward,1.85,Germany,"[-1, 12, 371, 86, 1236, 5, 78, 12, 421, 16, 97, 6, 368, 3]","(473, 30877)"
Bartosz Bialek,Centre-Forward,1.91,Poland,"[-1, 230, 324, 30, 227, 248, 120, 276]","(136, 6710)"
Oliver Baumann,Goalkeeper,1.87,Germany,"[-1, 5, 2789, 5, 877, 35, 256, 3, 16, 6, 24, 1, 151, 52, 34, 8, 107, 8, 1149, 36, 58, 12]","(622, 56209)"
Luca Philipp,Goalkeeper,1.92,Germany,"[-1, 6, 490, 9, 202, 53]","(82, 7349)"
Jakob Busk,Goalkeeper,1.89,Denmark,"[-1, 29, 665, 25, 385, 33, 546, 8, 339, 8, 186, 18, 133, 8, 126, 8, 350, 6]","(113, 10100)"
Lúkas Petersson,Goalkeeper,1.95,Iceland,"[-1, 42]","(57, 5130)"
Ozan Kabak,Centre-Back,1.87,Türkiye,"[-1, 11, 186, 18, 21, 54, 150, 1, 4, 4, 11, 4, 18, 81, 193, 4, 151, 25, 161, 26, 121, 55, 466, 3, 34, 24, 219, 359]","(166, 13334)"
Leo Østigård,Centre-Back,1.83,Norway,"[-1, 24, 886, 3, 379, 2, 332, 4, 411, 5, 23, 7]","(203, 15672)"
Robin Hranac,Centre-Back,1.9,Czech Republic,[-1],"(178, 14389)"
Arthur Chaves,Centre-Back,1.88,Brazil,"[-1, 1]","(123, 10399)"
Kevin Akpoguma,Centre-Back,1.92,Nigeria,"[-1, 85, 0, 50, 363, 16, 146, 121, 243, 2, 328, 61, 1, 17, 26, 19, 10, 50, 60, 18, 126, 22, 470, 3, 97, 12, 157, 28]","(387, 29709)"
Stanley Nsoki,Centre-Back,1.84,France,"[-1, 19, 1249, 29, 63, 7, 114, 13, 29, 4, 147, 44, 25, 11, 130, 80, 16, 36, 79, 15, 168, 5]","(182, 12897)"
David Jurásek,Left-Back,1.83,Czech Republic,"[-1, 5, 212, 23, 106, 36, 315, 65, 16, 6]","(188, 12415)"
Alexander Prass,Left-Back,1.8,Austria,"[-1, 8, 9, 13, 364, 43, 216, 4, 212, 4, 319, 10, 37, 44]","(275, 19752)"
Christopher Lenz,Left-Back,1.8,Germany,"[-1, 33, 192, 8, 690, 15, 703, 173, 276, 12, 294, 4, 238, 8, 4, 64, 175, 22, 14, 22, 175, 78, 17, 40, 59, 15, 0, 5, 10, 15, 126, 22, 28, 20, 518, 25, 4, 18, 145, 183, 0, 37]","(321, 23745)"
Valentin Gendrey,Right-Back,1.79,France,"[-1, 23, 1548, 29, 0, 12, 44, 72]","(194, 15068)"
Pavel Kaderabek,Right-Back,1.82,Czech Republic,"[-1, 32, 224, 8, 410, 18, 32, 25, 14, 8, 119, 5, 77, 25, 189, 8, 490, 5, 336, 4, 28, 15, 0, 12, 3, 5, 3, 43, 0, 22, 200, 29, 38, 47, 42, 32, 35, 8, 49, 8, 254, 17, 75, 63, 64, 6, 22, 7, 36, 12, 317, 23, 51, 6, 41, 8, 15, 7]","(449, 34923)"
Anton Stach,Defensive Midfield,1.94,Germany,"[-1, 74, 4, 88, 1442, 8, 25, 4, 133, 6, 66, 8, 614, 3, 13, 17]","(273, 19435)"
Diadié Samassékou,Defensive Midfield,1.77,Mali,"[-1, 15, 148, 34, 210, 8, 0, 9, 643, 53, 200, 7, 174, 6, 32, 8, 189, 34, 0, 7, 1254, 38, 0, 4, 14, 47, 0, 26]","(290, 21018)"
Tom Bischof,Central Midfield,1.76,Germany,"[-1, 15, 522, 33]","(118, 7769)"
Umut Tohumcu,Central Midfield,1.75,Germany,"[-1, 3, 1023, 53, 184, 6, 137, 42, 85, 80, 0, 9]","(129, 8286)"
Grischa Prömel,Central Midfield,1.84,Germany,"[-1, 26, 329, 11, -10, 11, 501, 15, 224, 29, 238, 141, 0, 15, 269, 29, 56, 8, 4, 15, 84, 29, 0, 92, 154, 8, 273, 151, 318, 31, 168, 269]","(301, 23230)"
Dennis Geiger,Central Midfield,1.73,Germany,"[-1, 126, 380, 15, 171, 5, 14, 4, 35, 5, 14, 11, 18, 4, 35, 1, 4, 4, 28, 8, 14, 1, 4, 212, 125, 74, -6, 73, 97, 12, 23, 5, 79, 20, 120, 3, 8, 2, 123, 4, 1, 15, 35, 65, 0, 129, 44, 5, 115, 6, 51, 33, 30, 13, 1, 67, 29, 12, 170, 12, 165, 76, 1, 147, 9, 24, 24, 78, 74, 9, 6, 34, 80, 3, 28, 10]","(233, 15992)"
Finn Becker,Central Midfield,1.77,Germany,"[-1, 11, 372, 36, 162, 14, 185, 28, 200, 8, 628, 12, 158, 111, 1, 30]","(234, 14503)"
Florian Micheler,Central Midfield,1.85,Austria,"[-1, 37]","(95, 6510)"
Andrej Kramaric,Attacking Midfield,1.77,Croatia,"[-1, 8, 67, 18, 298, 4, 74, 29, 322, 85, 31, 15, 77, 5, 7, 11, 70, 33, 129, 12, 0, 15, 0, 8, 87, 12, 38, 8, 221, 11, 70, 12, 241, 8, 345, 34, 327, 8, 121, 8]","(509, 36942)"
Bazoumana Touré,Left Winger,,Cote d'Ivoire,[-1],"(38, 2337)"
Marius Bülter,Left Winger,1.88,Germany,"[-1, 8, 802, 18, 375, 15, 786, 10, 245, 4, 31, 59, 0, 3, 36, 10]","(408, 28272)"
Adam Hlozek,Second Striker,1.88,Czech Republic,"[-1, 8, 388, 8, 28, 8, 11, 134, 73, 8, 158, 18, 495, 14, 363, 23, 137, 8, 142, 51]","(260, 16942)"
Gift Orban,Centre-Forward,1.78,Nigeria,"[-1, 45, 488, 6, 594, 11]","(114, 7069)"
Max Moerstedt,Centre-Forward,1.94,Germany,"[-1, 8, 956, 15, 31, 5]","(93, 6307)"
Haris Tabakovic,Centre-Forward,1.94,Bosnia-Herzegovina,"[-1, 87, 33, 235, 150, 4, 306, 5, 120, 24, 556, 296, 690, 26, 112, 15, 233, 29, 59, 17, 568, 6, 276, 7, 62, 24]","(351, 19609)"
Erencan Yardımcı,Centre-Forward,1.88,Türkiye,"[-1, 6, 855, 24, 0, 4, 15, 29, 574, 5, 48, 15, 96, 8, 171, 3, 55, 7, 2, 6]","(113, 4881)"
Ihlas Bebou,Centre-Forward,1.85,Togo,"[-1, 67, 63, 418, 31, 26, 980, 11, 11, 8, 28, 8, 311, 57, -3, 60, 0, 57, 287, 12, 259, 8, 24, 1, 231, 43, 189, 8, 109, 159, 604, 262, 0, 14]","(320, 22525)"
David Mokwa,Centre-Forward,1.8,France,[-1],"(95, 5854)"
Noah Atubolu,Goalkeeper,1.9,Germany,"[-1, 7, 313, 9, 372, 4, 520, 25, 144, 7, 67, 31]","(215, 19250)"
Florian Müller,Goalkeeper,1.9,Germany,"[-1, 12, 311, 29, 0, 126, 64, 7, 333, 13, 22, 2, 27, 60, 1014, 15, 1, 11, 554, 6, 484, 15, 67, 15]","(229, 20462)"
Jannik Huth,Goalkeeper,1.85,Germany,"[-1, 5, 416, 43, 11, 71, 224, 16, 842, 22, 219, 55, 491, 3, 438, 33]","(224, 20099)"
Philipp Lienhart,Centre-Back,1.89,Austria,"[-1, 57, 511, 25, 0, 12, 14, 39, 0, 22, 294, 5, 101, 61, 143, 5, 59, 26, 644, 8, 150, 19, 59, 21, 269, 27, 29, 4, 218, 30, 8, 54, 11, 72, 219, 11]","(323, 26787)"
Matthias Ginter,Centre-Back,1.89,Germany,"[-1, 92, 1047, 71, 798, 8, 409, 5, 80, 5, 31, 5, 164, 1, 21, 1, 634, 39, 60, 15, 175, 4, 25, 22, 31, 5, 630, 15, 45, 5, 175, 11, 526, 6, 120, 13, 27, 17, 1, 88]","(541, 45620)"
Max Rosenfelder,Centre-Back,1.86,Germany,"[-1, 13, 11, 123, 89, 44, 13, 59, 1, 30, 244, 153, 1, 80, 184, 12, 13, 5, 100, 19, 4, 15, 1, 7]","(89, 6126)"
Bruno Ogbus,Centre-Back,1.85,Switzerland,"[-1, 51, 215, 192]","(39, 2785)"
Manuel Gulde,Centre-Back,1.84,Germany,"[-1, 218, 66, 155, 98, 5, 276, 323, 329, 19, 87, 82, 101, 61, 766, 26, 322, 22, 10, 12, 136, 26, 77, 151, 0, 22, 312, 8, 91, 50, 10, 141, 284, 71, 756, 8, 28, 25, 0, 80, 77, 24, 377, 50, 40, 207]","(342, 26947)"
Christian Günter,Left-Back,1.84,Germany,"[-1, 2, 39, 4, 32, 1, 183, 29, 2817, 189]","(524, 43658)"
Jordy Makengo,Left-Back,1.91,France,"[-1, 16, 128, 7, 306, 12, 1, 6]","(100, 6206)"
Kiliann Sildillia,Right-Back,1.86,France,"[-1, 19, 934, 19, 17, 14, 107, 7]","(172, 11980)"
Lukas Kübler,Right-Back,1.82,Germany,"[-1, 18, 7, 85, 158, 11, 81, 25, 343, 418, 28, 29, 56, 15, 108, 5, 87, 8, 459, 29, 101, 117, 105, 200, 0, 26, 654, 15, 130, 32, 209, 6, 221, 27, 430, 10]","(354, 26131)"
Nicolas Höfler,Defensive Midfield,1.81,Germany,"[-1, 4, 1145, 15, 322, 8, 665, 8, 91, 22, 252, 46, 18, 11, 256, 109, 228, 22, 864, 12]","(548, 44786)"
Maximilian Eggestein,Central Midfield,1.81,Germany,"[-1, 8, 903, 8, 158, 11]","(475, 38671)"
Patrick Osterhage,Central Midfield,1.86,Germany,"[-1, 561, 31, 131, 87, 5, 87, 19, 105, 11, 35, 5, 94, 12, 257, 56, 232, 26, 317, 5, 109, 3]","(169, 11374)"
Johan Manzambi,Central Midfield,1.82,Switzerland,[-1],"(66, 3521)"
Merlin Röhl,Attacking Midfield,1.92,Germany,"[-1, 10, 511, 13, 109, 11, 373, 8, 145, 85, 62, 68, 106, 35, 0, 5]","(170, 11107)"
Daniel-Kofi Kyereh,Attacking Midfield,1.79,Ghana,"[-1, 298, 924, 5, 255, 12, 63, 8, 129, 19, 661, 22, 242, 11, 11, 5, 0, 11, 87, 142, 1, 366, 24, 310]","(227, 16831)"
Niklas Beste,Left Winger,1.75,Germany,"[-1, 8, 37, 19, 5, 22, 12, 219, 34, 27, 1, 30, 15, 30, 66, 20, 300, 21, 729, 6, 63, 8, 18, 10, 141, 21, 126, 5, 114, 21]","(285, 21163)"
Vincenzo Grifo,Left Winger,1.8,Italy,"[-1, 57, 494, 29, 336, 4, 18, 4, 501, 8, 24, 22, 564, 25, 105, 43, 165, 24, 1094, 13, 646, 4]","(437, 31842)"
Florent Muslija,Left Winger,1.72,Kosovo,"[-1, 15, 454, 6, 935, 5, 366, 28, 0, 6]","(292, 16990)"
Ritsu Doan,Right Winger,1.72,Japan,"[-1, 3, 250, 26, 50, 12, 98, 6, 386, 5, -3, 4]","(335, 24470)"
Eren Dinkçi,Right Winger,1.88,Türkiye,"[-1, 22, 42, 8, 74, 18, 217, 22, 7, 15, 0, 15, 18, 11, 18, 4, 174, 10, 462, 14, 85, 21, 128, 13, 15, 10]","(142, 8080)"
Maximilian Philipp,Second Striker,1.83,Germany,"[-1, 1, 35, 22, 7, 25, 74, 1, 10, 12, 143, 5, 161, 25, 277, 25, 49, 5, 56, 22, 185, 5, 35, 86, 329, 6, 36, 30, 538, 18, 72, 23, 753, 7, 260, 68, 241, 40, 214, 21]","(373, 22322)"
Junior Adamu,Centre-Forward,1.83,Austria,"[-1, 65, 346, 4, 137, 11, 176, 5, 48, 3, 115, 6, 176, 9, 255, 12, 56, 62]","(253, 14446)"
Michael Gregoritsch,Centre-Forward,1.93,Austria,"[-1, 11, 214, 39, 7, 47, 28, 8, 140, 4, 168, 33, -32, 33, 220, 8, 105, 15, 266, 8, 161, 8, 158, 11, 147, 12, 756, 8, 140, 15, 185, 5, 185, 1, 148, 5, 37, 9, 148, 34, 310, 35, 132, 8]","(473, 26604)"
Lucas Höler,Centre-Forward,1.84,Germany,"[-1, 8, 553, 18, 529, 8, 1176, 81, 460, 8, 480, 6]","(422, 27984)"
Robin Zentner,Goalkeeper,1.95,Germany,"[-1, 74, 119, 19, 994, 4, 18, 29, -28, 29, -28, 29, -28, 29, 714, 114, 186, 5, 130, 16, 598, 26, 287, 35, 490, 13]","(285, 25662)"
Daniel Batz,Goalkeeper,1.91,Germany,"[-1, 122, 646, 4, 1963, 6]","(368, 33194)"
Lasse Rieß,Goalkeeper,1.92,Germany,[-1],"(126, 11277)"
Moritz Jenz,Centre-Back,1.9,Germany,"[-1, 42, 473, 15, 16, 16, 133, 15, 26, 10, 353, 15, 62, 15, 84, 13, 1, 57]","(197, 16077)"
Andreas Hanche-Olsen,Centre-Back,1.85,Norway,"[-1, 7, 709, 76, 218, 21, 20, 141, 1, 4, 11, 19, 227, 29]","(300, 24529)"
Maxim Leitsch,Centre-Back,1.89,Germany,"[-1, 8, 437, 113, 102, 92, 14, 365, 577, 103, 105, 11, 196, 8, 4, 68, 255, 44, 43, 41, 44, 108, 162, 8, 144, 23]","(180, 14165)"
Danny da Costa,Centre-Back,1.87,Germany,"[-1, 8, 24, 54, 892, 243, 570, 12, 217, 8, 0, 60, 0, 40, 311, 5, 332, 8, 140, 8, 21, 15, 644, 15, 42, 29, 42, 5, 59, 54, 52, 5, 477, 8, 17, 32, 237, 11, 138, 5]","(403, 30569)"
Stefan Bell,Centre-Back,1.92,Germany,"[-1, 8, 367, 78, 588, 5, 388, 26, 98, 4, 182, 1, 14, 8, 95, 15, 0, 4, 60, 4, 4, 4, 515, 4, 56, 29, 14, 1, 56, 19, 3, 22, 140, 8, 322, 239, 924, 8, 438, 130, 0, 5, 263, 82]","(439, 37351)"
Maxim Dal,Centre-Back,1.88,Germany,"[-1, 112, 163, 72, 255, 49, 0, 17, 0, 22]","(53, 4364)"
Phillipp Mwene,Left-Back,1.7,Austria,"[-1, 309, 0, 113, 322, 32, 0, 12, 262, 5, 150, 134, 222, 9, 46, 19, 153, 44, 528, 10]","(366, 29859)"
Silvan Widmer,Right-Back,1.83,Switzerland,"[-1, 5, 542, 15, 217, 5, 136, 33, 84, 8, 7, 8, 192, 64, 11, 4, 88, 11, 172, 4, 294, 19, 395, 5, 133, 11, 60, 22, 3, 29, 420, 5, 77, 11, 60, 11, 193, 154, 316, 15]","(486, 38054)"
Nikolas Veratschnig,Right-Back,1.8,Austria,"[-1, 30, 216, 20]","(134, 8386)"
Kaishu Sano,Defensive Midfield,1.76,Japan,"[-1, 33, 371, 141, 168, 29]","(213, 18352)"
Lennard Maloney,Defensive Midfield,1.88,United States,"[-1, 11, 484, 52, 965, 36, 214, 8, 1, 5, 31, 5]","(209, 16160)"
Dominik Kohr,Defensive Midfield,1.83,Germany,"[-1, 43, 1096, 25, 70, 12, 1172, 15, 329, 5, 266, 39, 301, 8, 913, 26]","(454, 30657)"
Nadiem Amiri,Central Midfield,1.8,Germany,"[-1, 8, 175, 29, 420, 11, 14, 5, 77, 11, 64, 4, 142, 105, 166, 36, 262, 35, 118, 8, 169, 14, 313, 26, 31, 10, 1048, 5]","(392, 23295)"
Anthony Caci,Right Midfield,1.84,France,"[-1, 64, 949, 4, 428, 10]","(222, 16919)"
Paul Nebel,Attacking Midfield,1.69,Germany,[-1],"(206, 15413)"
Hyun-seok Hong,Attacking Midfield,1.77,"Korea, South","[-1, 6, 112, 50, 1773, 17, 166, 8]","(252, 15857)"
Jae-sung Lee,Attacking Midfield,1.8,"Korea, South","[-1, 19, 91, 8, 10, 5, 31, 5, 441, 8, 665, 32, 4, 64, 49, 4]","(418, 32519)"
Arnaud Nordin,Right Winger,1.7,France,"[-1, 6, 639, 29, 14, 33, 133, 49]","(263, 15192)"
Armindo Sieb,Second Striker,1.75,Germany,"[-1, 80, 1, 40, 937, 5]","(191, 11210)"
Jonathan Burkardt,Centre-Forward,1.83,Germany,"[-1, 176, 1502, 11, 308, 4, 126, 15, 25, 18, 7, 8, 53, 312, 1, 39, 88, 16, 237, 8, 44, 25, 6, 21, 65, 7]","(213, 14347)"
Nelson Weiper,Centre-Forward,1.92,Germany,"[-1, 200, 225, 19]","(84, 4435)"
Moritz Nicolas,Goalkeeper,1.93,Germany,"[-1, 78, 619, 89, 45, 61, 1746, 20, 437, 64, 136, 8, 454, 135]","(222, 19840)"
Jonas Omlin,Goalkeeper,1.9,Switzerland,"[-1, 103, 997, 64, 210, 10, 145, 9, 264, 38, 59, 24, 207, 86, 412, 16, 110, 18, 59, 15, 96, 153, 0, 50, 32, 13, 140, 41, 0, 15, 125, 30]","(341, 30326)"
Tobias Sippel,Goalkeeper,1.83,Germany,"[-1, 19, 101, 64, 119, 19, 416, 19, 1725, 22, 1624, 40, 794, 8, 221, 15, 42, 15, 98, 5, 48, 5, 644, 8]","(320, 28574)"
Tiago Pereira Cardoso,Goalkeeper,1.9,Luxembourg,[-1],"(56, 5029)"
Ko Itakura,Centre-Back,1.88,Japan,"[-1, 43, 1225, 15, 108, 12, 245, 59, 343, 73, 388, 8, 91, 4, 8, 4]","(237, 19211)"
Nico Elvedi,Centre-Back,1.89,Switzerland,"[-1, 12, 129, 12, 199, 5, 325, 54, 42, 4, 32, 15, 266, 4, 165, 22, 234, 8, 210, 12, 45, 8, 312, 8, 115, 15, 203, 22, 18, 8, 84, 8, 168, 11, 46, 8, 24, 4, 307, 11, 180, 3, 119, 7, 60, 32, 81, 4, 37, 6, 32, 11]","(409, 34353)"
Marvin Friedrich,Centre-Back,1.93,Germany,"[-1, 1, 0, 113, 465, 5, 1239, 4, 95, 11, 42, 8, 70, 15, 7, 36, 95, 18, 442, 4, 504, 8, 35, 32]","(388, 31399)"
Fabio Chiarodia,Centre-Back,1.86,Italy,"[-1, 15, 627, 3]","(73, 4346)"
Lukas Ullrich,Left-Back,1.8,Germany,"[-1, 11, 286, 70, 0, 15]","(102, 8045)"
Luca Netz,Left-Back,1.84,Germany,"[-1, 93, 205, 98, 262, 25, 84, 14, 215, 6, 179, 28, 60, 3, 93, 8, 235, 53]","(178, 11453)"
Joe Scally,Right-Back,1.84,United States,"[-1, 12, 399, 4, 193, 3]","(154, 11151)"
Stefan Lainer,Right-Back,1.75,Austria,"[-1, 8, 70, 19, 206, 5, 164, 5, 66, 12, 350, 8, 63, 18, 420, 5, 171, 96, 101, 8, 18, 4, 144, 18, 42, 5, 0, 15, 256, 6, 1, 117, 0, 57, 90, 3, 311, 4]","(527, 41271)"
Julian Weigl,Defensive Midfield,1.86,Germany,"[-1, 5, 238, 8, 17, 5, 122, 5, 224, 4, 109, 4, 7, 5, 10, 5, 42, 99, 56, 4, 473, 6, 19, 7, 260, 6, 62, 4, 287, 13, 810, 49, 44, 5, 137, 8, 45, 4, 469, 8]","(498, 40177)"
Niklas Swider,Defensive Midfield,1.88,Germany,"[-1, 15, 203, 15, -14, 92, 241, 46, 145, 4, 98, 64, 0, 15]","(61, 5249)"
Rocco Reitz,Central Midfield,1.76,Germany,"[-1, 98, 374, 61, 1092, 5, 276, 4, 90, 41, 32, 8]","(148, 8900)"
Philipp Sander,Central Midfield,1.86,Germany,"[-1, 42, 891, 16, 1, 62, 580, 49, 355, 4, 37, 34, 0, 10]","(252, 17083)"
Florian Neuhaus,Central Midfield,1.85,Germany,"[-1, 15, 88, 106, 101, 47, 714, 11, 123, 46, 214, 4, 1796, 92, 226, 13, 192, 7, 42, 6, 21, 4, 206, 25, 0, 6]","(324, 20991)"
Kevin Stöger,Attacking Midfield,1.75,Austria,"[-1, 127, 448, 22, 1228, 299, 581, 11, 70, 232, 1008, 8, 205, 3, 256, 6]","(405, 27808)"
Robin Hack,Left Winger,1.78,Germany,"[-1, 250, 524, 11, 42, 5, 407, 26, 76, 33, 199, 6, 423, 22, 3, 50, 101, 12, 87, 5, 88, 7, 664, 6, 63, 3, 89, 71, 0, 14, 2, 6, 1, 8, 238, 5]","(298, 20729)"
Yvandro Borges Sanches,Left Winger,1.8,Luxembourg,"[-1, 96, 636, 8, 92, 21, 64, 25, 89, 10, 71, 49, 128, 187, 1, 36, 72, 6, 7, 22, 0, 8, 4, 11, 28, 46]","(64, 3609)"
Franck Honorat,Right Winger,1.8,France,"[-1, 5, 240, 8, 97, 13, 15, 17, 112, 30, 84, 63, 35, 11]","(327, 22567)"
Nathan Ngoumou,Right Winger,1.85,Cameroon,"[-1, 6, 162, 31, 45, 36, 0, 5, 77, 53]","(171, 9334)"
Tim Kleindienst,Centre-Forward,1.94,Germany,"[-1, 8, 80, 33, 14, 11, 11, 50, 49, 113, 231, 50, 42, 8, 49, 15, 185, 5, 97, 8, 227, 13, 2, 17, 7, 13, 67, 190, 379, 29, 561, 55, 115, 6, 883, 3, 115, 128]","(372, 27989)"
Alassane Pléa,Centre-Forward,1.81,France,"[-1, 57, -21, 106, 374, 138, 479, 12, 346, 22, 217, 15, 144, 8, 21, 15, 10, 5, 192, 15, 396, 22, 45, 8, 151, 5, 269, 5, 6, 61, 303, 17, 85, 7]","(399, 27862)"
Tomas Cvancara,Centre-Forward,1.9,Czech Republic,"[-1, 7, 232, 15, 232, 15, 14, 17, 26, 6, 164, 6, 77, 6, 1, 66, 80, 8, 67, 4, 7, 8, 14, 15, 3, 70]","(214, 11265)"
Shio Fukuda,Centre-Forward,1.78,Japan,"[-1, 7, 136, 9, 237, 15]","(55, 3354)"
Michael Zetterer,Goalkeeper,1.87,Germany,"[-1, 5, 150, 75, 164, 176, 18, 29, 199, 8, 151, 8, 63, 4, 14, 426, 295, 9, 476, 36, 365, 7, 348, 7]","(249, 22041)"
Mio Backhaus,Goalkeeper,1.94,Germany,"[-1, 5]","(86, 7681)"
Markus Kolke,Goalkeeper,1.87,Germany,"[-1, 43, 1495, 41, 488, 31, 346, 4]","(472, 42522)"
Marco Friedl,Centre-Back,1.87,Austria,"[-1, 8, 172, 4, 105, 15, 1096, 11, 116, 22, 178, 15, 35, 15, 28, 12, 17, 29, 193, 4, 139, 14, 123, 16, 48, 11, 67, 10, 64, 35, 312, 33, 0, 8]","(288, 24283)"
Niklas Stark,Centre-Back,1.9,Germany,"[-1, 5, 203, 85, 588, 92, 336, 4, 67, 4, 56, 29, 28, 8, 4, 1, 7, 4, 0, 43, 88, 25, 0, 8, 130, 8, 10, 8, 151, 15, 21, 36, 126, 39, 130, 4, 0, 19, 80, 8, 53, 29, 35, 15, 507, 8, 112, 12, 35, 11, 105, 8, 74, 8, 129, 5, -4, 7, 202, 36, 48, 6, 49, 17, -15, 25, 4, 44, 160, 33, 84, 5, 33, 19]","(389, 30453)"
Amos Pieper,Centre-Back,1.92,Germany,"[-1, 18, 266, 8, 142, 7, 185, 6, 230, 7, 24, 31, -24, 62, 86, 19, 36, 99, 0, 13, 18, 87, 31, 34]","(287, 22883)"
Milos Veljkovic,Centre-Back,1.88,Serbia,"[-1, 74, 326, 32, 700, 5, 52, 12, 192, 26, 189, 88, 126, 5, 154, 18, 102, 36, 101, 22, 11, 8, 14, 32, 35, 19, 101, 19, 31, 15, 21, 15, 39, 11, 11, 18, 161, 5, 3, 8, 13, 9, 104, 8, 8, 12, 109, 22, 20, 5, 111, 6, -4, 6, 11, 64, -8, 10, 176, 54, 42, 8, 68, 9, 29, 50, 0, 7]","(314, 25226)"
Julián Malatini,Centre-Back,1.91,Argentina,"[-1, 5, 486, 20]","(107, 6116)"
Anthony Jung,Centre-Back,1.86,Germany,"[-1, 67, 1365, 29, 252, 12, 2729, 5, 99, 6]","(511, 40193)"
Derrick Köhn,Left-Back,1.8,Germany,"[-1, 39, 1831, 5, 240, 8]","(313, 23761)"
Felix Agu,Left-Back,1.8,Nigeria,"[-1, 54, 0, 8, 7, 8, 220, 12, 311, 22, 291, 29, 35, 15, 63, 32, 256, 162, 1, 21, 1, 140, 419, 74, 0, 13]","(190, 13084)"
Issa Kaboré,Right-Back,1.8,Burkina Faso,"[-1, 31, 674, 5, 830, 5]","(137, 7901)"
Mitchell Weiser,Right-Back,1.77,Germany,"[-1, 71, 308, 26, 28, 4, 60, 15, 73, 8, -7, 8, 277, 18, 4, 4, 4, 71, 0, 8, 7, 4, 11, 36, 189, 8, 31, 29, 11, 15, 535, 33, 87, 54, 353, 54, 276, 8, 4, 8, 14, 18, 4, 11, 42, 29, 312, 18, 79, 65, 188, 6, 2, 11]","(423, 32364)"
